[0, 0]:	aakkoset - алфавит
[1984, 1984]:	maahantuloviisumi - въездная виза
[1985, 1985]:	maailma - мир
[1986, 1986]:	maailmankirjallisuus - мировая литература
[1987, 1987]:	maailmankuulu - всемирно известный
[1988, 1988]:	maailmassa - в мире (от maailma)
[1989, 1989]:	maalari - художник, маляр
[199, 199]:	autolla - на машине
[1990, 1990]:	maalata - красить
[1991, 1991]:	maalaus - картина
[1992, 1992]:	maaliskuu - март
[1993, 1993]:	maaliskuuta - марта (от maaliskuu)
[1994, 1994]:	maalivahti - вратарь
[1995, 1995]:	maalla - в деревне
[1996, 1996]:	maanalainen - метро
[1997, 1997]:	maanantai - понедельник
[1998, 1998]:	maanjäristys - землетрясение
[1999, 1999]:	maanmittari - землемер
[2, 2]:	aamiainen - завтрак
[20, 20]:	aiheuttaa - вызывать, причинять
[200, 200]:	auton - машину
[2000, 2000]:	maanosa - часть света
[2001, 2001]:	maanosia - части света (от maanosa)
[2002, 2002]:	maantiekartan - карту дорог (от maantiekartta)
[2003, 2003]:	maantiekartta - карта дорог
[2004, 2004]:	maanviljelijä - земледелец
[2005, 2005]:	maanviljely - земледелие
[2006, 2006]:	maaseutu - сельская местность
[2007, 2007]:	maasta - из страны (от maa)
[2008, 2008]:	maastapoistumisviisumi - выездная виза
[2009, 2009]:	maatalousyhteiskunta - сельскохозяйственная община
[201, 201]:	autonasiapaperit - автодокументы
[2010, 2010]:	maatila - имение, поместье
[2011, 2011]:	mahdollisimman paljon - как можно больше
[2012, 2012]:	mahdollisuus - возможность
[2013, 2013]:	mahdoton - невозможный
[2014, 2014]:	mahdotonta - невозможно
[2015, 2015]:	mahtava - мощный
[2016, 2016]:	mahtua - помещаться
[2017, 2017]:	maihin - на берег (от maa)
[2018, 2018]:	maine - слава, репутация
[2019, 2019]:	mainio - прекрасный
[202, 202]:	autonkuljettaja - шофер
[2020, 2020]:	mainita - упоминать
[2021, 2021]:	mainos - реклама
[2022, 2022]:	maisema - пейзаж, ландшафт
[2023, 2023]:	maiskuttaa - чмокать, причмокивать, чавкать
[2024, 2024]:	maistaa - пробовать (1)
[2025, 2025]:	maistella - пробовать (2)
[2026, 2026]:	maistua - иметь вкус
[2027, 2027]:	maita - страны (от maa)
[2028, 2028]:	maito - молоко
[2029, 2029]:	maitoa - молока (масса,колич.)
[203, 203]:	autotalli - гараж
[2030, 2030]:	maitoauto - молоковоз
[2031, 2031]:	maitococktail - молочный коктейль
[2032, 2032]:	maitokannu - молочник
[2033, 2033]:	maitokauppa - молочный магазин
[2034, 2034]:	majakka - маяк
[2035, 2035]:	majoittaa - размещать, расквартировывать
[2036, 2036]:	majoitus - размещение
[2037, 2037]:	majoneesi - майонез
[2038, 2038]:	makaronit - макароны
[2039, 2039]:	makea - сладкий
[204, 204]:	autovuokraamo - прокат автомобиля
[2040, 2040]:	makeiskauppa - кондитерская
[2041, 2041]:	makkara - колбаса
[2042, 2042]:	makkaraa - колбасу
[2043, 2043]:	makrilli - скумбрия
[2044, 2044]:	maksa - печень
[2045, 2045]:	maksaa - платить
[2046, 2046]:	maksatte - вы платите (от maksaa)
[2047, 2047]:	maksatteko - вы платите? (от maksaa)
[2048, 2048]:	maksavat - стоят (от maksaa)
[2049, 2049]:	maksetaan - платят (от maksaa)
[205, 205]:	auttaa - помогать
[2050, 2050]:	maksetaanko - платят?
[2051, 2051]:	maksettu - оплаченный (от maksaa)
[2052, 2052]:	maksu - плата
[2053, 2053]:	makuuhuone - спальня
[2054, 2054]:	makuupaikka - спальное место
[2055, 2055]:	makuuvaunu - мягкий вагон
[2056, 2056]:	makuuvaunuun - в мягком вагоне (от makuuvaunu)
[2057, 2057]:	malja - чаша, ваза, тост, кубок, бокал
[2058, 2058]:	maljaa - тост (от malja)
[2059, 2059]:	maljanne - за вас
[206, 206]:	avaimen - ключ
[2060, 2060]:	maljapuhe - тост
[2061, 2061]:	malli - модель, образец
[2062, 2062]:	maltti - самообладание, терпение
[2063, 2063]:	mandariini - мандарин
[2064, 2064]:	mannekiini - манекен
[2065, 2065]:	mansikka - земляника
[2066, 2066]:	marinoida - мариновать
[2067, 2067]:	markan - марка (от markka)
[2068, 2068]:	markka - марка
[2069, 2069]:	markkaa - марок (от markka)
[207, 207]:	avain - ключ
[2070, 2070]:	markkinahuvit - ярмарочные увеселения
[2071, 2071]:	markkinat - ярмарка
[2072, 2072]:	marmelaadi - джем
[2073, 2073]:	marmeladia - джем(а)
[2074, 2074]:	marraskuu - ноябрь
[2075, 2075]:	masentua - падать духом, унывать
[2076, 2076]:	matala - низкий
[2077, 2077]:	matalapaine - низкое давление, циклон
[2078, 2078]:	matematiikkaa - математику
[2079, 2079]:	matka - поездка, путь
[208, 208]:	avata - открывать
[2080, 2080]:	matkailija - путешественник
[2081, 2081]:	matkailu - туризм
[2082, 2082]:	matkailukohde - туристский объект
[2083, 2083]:	matkalaukku - чемодан
[2084, 2084]:	matkalaukkumme - наши чемоданы (от matkalaukku)
[2085, 2085]:	matkalippu - дорожный билет
[2086, 2086]:	matkalipun - билет (от matkalippu)
[2087, 2087]:	matkamuisto - сувенир, дорожное воспоминание
[2088, 2088]:	matkamuistoja - сувениры (от matkamuisto)
[2089, 2089]:	matkan - поездки (от matka)
[209, 209]:	avataan - открывается
[2090, 2090]:	matkasekkejä - дорожные чеки (от matkasekki)
[2091, 2091]:	matkasekki - дорожный чек
[2092, 2092]:	matkatavarani - мой багаж (от matkatavarat)
[2093, 2093]:	matkatavaranne - ваш багаж (от matkatavarat)
[2094, 2094]:	matkatavaraosasto - багажное отделение
[2095, 2095]:	matkatavarat - багаж
[2096, 2096]:	matkatavaroiden - багажа (от matkatavarat)
[2097, 2097]:	matkatoimisto - бюро путешествий
[2098, 2098]:	matkustaa - ехать, путешествовать
[2099, 2099]:	matkustaja - пассажир
[21, 21]:	aika - время
[210, 210]:	avatkaa - откройте
[2100, 2100]:	matkustajia - пассажиры (от matkustaja)
[2101, 2101]:	matkustaminen - путешествие
[2102, 2102]:	matkustella - путешествовать, ездить
[2103, 2103]:	koottava puunukke - матрешка
[2104, 2104]:	matrjo`kan - матрешку (от matrjo`k)
[2105, 2105]:	matto - палас, ковер
[2106, 2106]:	maukas - вкусный
[2107, 2107]:	maustaa - приправлять
[2108, 2108]:	mausteet - приправа
[2109, 2109]:	mausteita - приправы
[211, 211]:	avautua - открываться
[2110, 2110]:	mauton - безвкусный 
[2111, 2111]:	me - мы
[2112, 2112]:	mehua - сок
[2113, 2113]:	meikkilaukku - косметичка
[2114, 2114]:	meille - нам (от me)
[2115, 2115]:	meillä - у нас (от me)
[2116, 2116]:	mekaanikko - я механик
[2117, 2117]:	melkein - почти
[2118, 2118]:	melko - довольно
[2119, 2119]:	melkoinen - порядочный, значительный
[212, 212]:	avioero - развод
[2120, 2120]:	meloni - арбуз
[2121, 2121]:	meluisa - шумный, шумливый
[2122, 2122]:	menee - идет (от mennд)
[2123, 2123]:	meneekö - идет? (от mennд)
[2124, 2124]:	menestys - успех, удача
[2125, 2125]:	menestystä - удачи (от menestys)
[2126, 2126]:	menestyä - успевать, преуспевать
[2127, 2127]:	menettää - потерять, утратить, лишиться
[2128, 2128]:	menevät - идут
[2129, 2129]:	mennessänne - уходя
[213, 213]:	avoin - открытый
[2130, 2130]:	mennä - идти, попадать
[2131, 2131]:	mennä tanssimaan - потанцуем
[2132, 2132]:	mennäänkö - пойдем?
[2133, 2133]:	mentolisavukkeita - ментоловые сигареты
[2134, 2134]:	mentävä - надо ехать
[2135, 2135]:	merenranta - берег моря
[2136, 2136]:	meri - море
[2137, 2137]:	meri-ilma - морской воздух
[2138, 2138]:	merimies - моряк
[2139, 2139]:	meripihka - янтарь
[214, 214]:	avusta - за помощь
[2140, 2140]:	meripihkahelmet - янтарное ожерелье
[2141, 2141]:	meripihkakoru - изделие из янтаря
[2142, 2142]:	merisairaus - морская болезнь
[2143, 2143]:	merkinnällä - с пометкой (от merkintä)
[2144, 2144]:	merkinnän - отметку (от merkintä)
[2145, 2145]:	merkintä - запись, пометка, надпись, знак, клеймление
[2146, 2146]:	merkittävä - значительный, известный
[2147, 2147]:	merkitys - значение
[2148, 2148]:	merkitä - метить, отмечать, помечать, маркировать
[2149, 2149]:	merkki - знак, значок
[215, 215]:	avustaa - оказывать помощь
[2150, 2150]:	merkkipäivä - знаменательная дата, юбилей
[2151, 2151]:	messut - ярмарка
[2152, 2152]:	mestariteos - шедевр
[2153, 2153]:	mestaruus - первенство, чемпионат
[2154, 2154]:	metro - метро
[2155, 2155]:	metroasema - станция метро
[2156, 2156]:	metrokartta - схема метро
[2157, 2157]:	metsä - лес
[2158, 2158]:	metsäpalovaroitus - предупреждение о пожароопасности лесов
[2159, 2159]:	metsästys - охота
[216, 216]:	avuton - беспомощный 
[2160, 2160]:	metsästystä - охотой (от metsдstys)
[2161, 2161]:	metsästäjä - лесник
[2162, 2162]:	metsästää - охотиться
[2163, 2163]:	mieheni - мой муж (от mies)
[2164, 2164]:	mielelläni - охотно, с удовольствием
[2165, 2165]:	mielenkiintoinen - интересный
[2166, 2166]:	mielenosoitus - митинг
[2167, 2167]:	mielestäni - по-моему
[2168, 2168]:	mieli - мнение
[2169, 2169]:	mieliala - настроение
[217, 217]:	baari - бар
[2170, 2170]:	mielihyvin - с удовольствием
[2171, 2171]:	mielikirjailijanne - любимый писатель (от kirjailija)
[2172, 2172]:	mielikuvitus - фантазия
[2173, 2173]:	mielipide - мнение
[2174, 2174]:	miellyttävä - приятный
[2175, 2175]:	miellyttää - нравиться
[2176, 2176]:	mieltyä - полюбить, почувствовать симпатию
[2177, 2177]:	mieltä - мнения (от mieli)
[2178, 2178]:	mieltäni pahoittaa - меня огорчает
[2179, 2179]:	mieluummin - лучше, охотнее
[218, 218]:	baarimestari - бармен
[2180, 2180]:	mies - муж, мужчина
[2181, 2181]:	miesten - мужские (от mies)
[2182, 2182]:	miestenhuone - мужской туалет
[2183, 2183]:	mieto - слабый
[2184, 2184]:	mietoja - слабые (от mieto)
[2185, 2185]:	miettiä - думать
[2186, 2186]:	mihin - куда
[2187, 2187]:	mihin aikaan - во сколько (от aika)
[2188, 2188]:	miksi - почему
[2189, 2189]:	mikä - который, что, что?, кто?, какой?, каков?
[219, 219]:	bailata - веселиться, тусоваться (праздновать)
[2190, 2190]:	mikäli - насколько
[2191, 2191]:	miljoona - миллион
[2192, 2192]:	miljöö - среда, обстановка
[2193, 2193]:	millainen - какой?
[2194, 2194]:	millaisen - какой? (от millainen)
[2195, 2195]:	milloin - когда
[2196, 2196]:	millä - каким? (от mikд)
[2197, 2197]:	miltä - иметь вкус
[2198, 2198]:	ministerineuvosto - Совет Министров
[2199, 2199]:	minkä - какого?
[22, 22]:	aikaa - времени
[220, 220]:	balalaikka - балалайка
[2200, 2200]:	minne - где?
[2201, 2201]:	minttu - мята
[2202, 2202]:	minua janottaa - мне хочется пить
[2203, 2203]:	minulla - у меня (от minд)
[2204, 2204]:	minulle - мне
[2205, 2205]:	minun - мое, мне
[2206, 2206]:	minun on pakko - мне необходимо
[2207, 2207]:	minut - меня (от minд)
[2208, 2208]:	minuutti - минута
[2209, 2209]:	minuuttia - минут (от minuutti)
[221, 221]:	baletti - балет
[2210, 2210]:	minä - я
[2211, 2211]:	missä - где?
[2212, 2212]:	mistä - откуда
[2213, 2213]:	mistä? - справиться о чем-либо
[2214, 2214]:	mitata - измерять
[2215, 2215]:	miten - как
[2216, 2216]:	mitkä - какие?
[2217, 2217]:	mitta - мера
[2218, 2218]:	mittaamaton - неизмеримый
[2219, 2219]:	mittaan - я измерю (от mitata)
[222, 222]:	banaaneja - бананы (от banaani)
[2220, 2220]:	mitä tahansa - что угодно
[2221, 2221]:	mitä… sen - чем... тем
[2222, 2222]:	molemmat - оба
[2223, 2223]:	monenko - сколько?
[2224, 2224]:	monenlainen - различный
[2225, 2225]:	monesko - какой по счету?
[2226, 2226]:	moni - многие
[2227, 2227]:	monin paikoin - местами
[2228, 2228]:	monipuolinen - разносторонний
[2229, 2229]:	monta - много
[223, 223]:	banaani - банан
[2230, 2230]:	montako - сколько?
[2231, 2231]:	moottori - двигатель
[2232, 2232]:	moottorisaha - механическая пила, мотопила
[2233, 2233]:	moottoriöljyä - моторное масло
[2234, 2234]:	mormuska - мормышка
[2235, 2235]:	mormuskan - мормышку (от mormy`ka)
[2236, 2236]:	moskovalainen - москвич
[2237, 2237]:	muinaisvenäläinen - древнерусский
[2238, 2238]:	muistaa - помнить
[2239, 2239]:	muistan - я помню (от muistaa)
[224, 224]:	baskeri - берет
[2240, 2240]:	muistivihko - записная книжка
[2241, 2241]:	muistoesine - сувенир
[2242, 2242]:	muistoesineen - сувенир (от muistoesine)
[2243, 2243]:	muistoksi - на память
[2244, 2244]:	muistomerkki - памятник
[2245, 2245]:	muistopatsas - памятник, статуя
[2246, 2246]:	muistuttaa - напомнить
[2247, 2247]:	muita - другие (от muu)
[2248, 2248]:	mukava - удобный, приятный
[2249, 2249]:	mummo - бабушка
[225, 225]:	beige - бежевый
[2250, 2250]:	muna - яйцо
[2251, 2251]:	munuaiset - почки
[2252, 2252]:	muodostaa - образовывать, формировать
[2253, 2253]:	muodostua - образоваться, появляться
[2254, 2254]:	muoti - мода
[2255, 2255]:	muoto - форма, вид
[2256, 2256]:	muotokuva - портрет
[2257, 2257]:	murahtaa - буркнуть
[2258, 2258]:	murre - диалект
[2259, 2259]:	murtaa - переламывать, ломать
[226, 226]:	bensiini - бензин
[2260, 2260]:	murtuma - перелом
[2261, 2261]:	museo - музей
[2262, 2262]:	musiikki - музыка
[2263, 2263]:	musiikkikoulu - музыкальная школа
[2264, 2264]:	musiikkitunti - урок музыки
[2265, 2265]:	musta - черный
[2266, 2266]:	mustaa - черного (от musta)
[2267, 2267]:	mutista - бормотать, ворчать
[2268, 2268]:	mutta - а, но
[2269, 2269]:	muu - другой, иной
[227, 227]:	bensiiniä - бензина
[2270, 2270]:	muunnos - вариант
[2271, 2271]:	muurari - каменщик
[2272, 2272]:	muutama - несколько
[2273, 2273]:	muuten - иначе, а то, в противном случае
[2274, 2274]:	muuttaa - менять, переезжать
[2275, 2275]:	muuttolintu - перелетная птица
[2276, 2276]:	muuttua - меняться, изменяться, превращаться
[2277, 2277]:	mykkä - немой
[2278, 2278]:	myrsky - буря
[2279, 2279]:	myrskytä - бушевать
[228, 228]:	betonisilta - бетонный мост
[2280, 2280]:	myydä - продавать
[2281, 2281]:	myyjä - продавец
[2282, 2282]:	myymälä - магазин
[2283, 2283]:	myöhemmin - позже, позднее
[2284, 2284]:	myöhästyin - я опоздал (от myцhдstyд)
[2285, 2285]:	myöhästyä - опаздывать, запаздывать
[2286, 2286]:	myöhään - поздно
[2287, 2287]:	myöntyminen - согласие
[2288, 2288]:	myöntämiminen - присвоение
[2289, 2289]:	myöntämisen - с присвоением (от myцntämiminen)
[229, 229]:	bileet - тусовка, место (вечеринка)
[2290, 2290]:	myöntää - признавать, представлять
[2291, 2291]:	myös - также, тоже
[2292, 2292]:	myöten - до
[2293, 2293]:	myötätunto - сочувствие
[2294, 2294]:	mäenlasku - прыжки с трамплина
[2295, 2295]:	mäki - гора, холм
[2296, 2296]:	märkä - мокрый
[2297, 2297]:	määrä - количество
[2298, 2298]:	määräasema - станция
[2299, 2299]:	määräasemalle - на станцию назначения (от määräasema)
[23, 23]:	aikaisemmin, aiemmin - раньше
[230, 230]:	biljardi - бильярд
[2300, 2300]:	määrätä - определять
[2301, 2301]:	mökki - избушка
[2302, 2302]:	naamari - маска
[2303, 2303]:	naamiaiset - маскарад
[2304, 2304]:	naapuri - сосед
[2305, 2305]:	nahjus - мешковатый человек, тюфяк, шляпа
[2306, 2306]:	nahka - кожа
[2307, 2307]:	nahkalaukku - кожаная сумка
[2308, 2308]:	naimaton - холост
[2309, 2309]:	naimisissa - женат
[231, 231]:	biljardia - бильярд (от biljardi)
[2310, 2310]:	nainen - женщина
[2311, 2311]:	naiset - женщины (от nainen)
[2312, 2312]:	naisten - женские (от nainen)
[2313, 2313]:	naistenhuone - женский туалет
[2314, 2314]:	naistenpäivä - женский день
[2315, 2315]:	nakkeja - сосиски
[2316, 2316]:	nakki - сосиска
[2317, 2317]:	nalkuttaa - ворчать, пилить
[2318, 2318]:	nalle - мишка (игрушка)
[2319, 2319]:	napauttaa - ударить (легонько), щелкнуть
[232, 232]:	biljardisali - бильярдная
[2320, 2320]:	nappi - пуговица, кнопка звонка
[2321, 2321]:	nappula - кнопка
[2322, 2322]:	narsissit - нарцисы
[2323, 2323]:	naudanliha - говядина
[2324, 2324]:	nauha - лента
[2325, 2325]:	nauhoittaa - записывать на магнитную пленку
[2326, 2326]:	nauhuri - магнитофон
[2327, 2327]:	naula - гвоздь
[2328, 2328]:	nauraa - смеяться
[2329, 2329]:	nauttia - наслаждаться
[233, 233]:	biologi - биолог
[2330, 2330]:	navetta - хлев
[2331, 2331]:	ne - они
[2332, 2332]:	neilikat - гвоздики
[2333, 2333]:	neilikka - гвоздика
[2334, 2334]:	neitonen - девушка
[2335, 2335]:	neliö - квадрат
[2336, 2336]:	neljä - четыре
[2337, 2337]:	neljäkymmentä - сорок
[2338, 2338]:	neljälle - на четверых (от neljд)
[2339, 2339]:	neljännes - четверть
[234, 234]:	bliini - блин
[2340, 2340]:	neljännestunti - четверть часа
[2341, 2341]:	neljännestä - четверти (от neljдnnes)
[2342, 2342]:	neljäs - четвертый
[2343, 2343]:	neljätoista - четырнадцать
[2344, 2344]:	nenä - нос
[2345, 2345]:	nerokas - талантливый
[2346, 2346]:	netti - интернет
[2347, 2347]:	neula - игла
[2348, 2348]:	neuvoa - советовать, давать совет 
[2349, 2349]:	neuvonta - справочное
[235, 235]:	bliinit - блины (от bliini)
[2350, 2350]:	neuvontatoimisto - справочное бюро
[2351, 2351]:	neuvosto - совет
[2352, 2352]:	neuvotella - советоваться, совещаться
[2353, 2353]:	neuvottelu - совещание, переговоры
[2354, 2354]:	niellä - глотать
[2355, 2355]:	niemi - мыс
[2356, 2356]:	niin - так
[2357, 2357]:	niistä - о них (от ne)
[2358, 2358]:	niitty - луг
[2359, 2359]:	niittymaa - луг (от niitty)
[236, 236]:	brandy - брэнди
[2360, 2360]:	nilkka - щиколотка
[2361, 2361]:	nillalakka - морошка
[2362, 2362]:	nimelleni - на мое имя (от nimi)
[2363, 2363]:	nimeni - мое имя
[2364, 2364]:	nimi - имя
[2365, 2365]:	nimikortti - визитная карточка
[2366, 2366]:	nimikorttini - моя визитная карточка (от nimikortti)
[2367, 2367]:	nimimerkki - псевдоним
[2368, 2368]:	nimipäivä - именины
[2369, 2369]:	niska - затылок
[237, 237]:	bufetti - буфет
[2370, 2370]:	nitoa - переплетать, связывать
[2371, 2371]:	niukasti - скудно, бедно
[2372, 2372]:	nivelkipu - боль в суставе
[2373, 2373]:	nivoutua - переплетаться, сплетаться
[2374, 2374]:	noin - приблизительно, около
[2375, 2375]:	noita - эти (от nuo)
[2376, 2376]:	nojata - прислоняться
[2377, 2377]:	nojatuoli - кресло
[2378, 2378]:	nolla - ноль
[2379, 2379]:	nopea - быстрый
[238, 238]:	bulevardi - бульвар
[2380, 2380]:	nopeammin - быстрее (от nopea)
[2381, 2381]:	nopeasti - быстро
[2382, 2382]:	nopeuden - скорости (от nopeus)
[2383, 2383]:	nopeus - скорость
[2384, 2384]:	nopeusrajoitus - ограничение скорости
[2385, 2385]:	Norja - Норвегия
[2386, 2386]:	normaali - нормальный
[2387, 2387]:	norppa - нерпа
[2388, 2388]:	nostaa - поднимать, получать, брать
[2389, 2389]:	nosto I - подъем
[239, 239]:	bussi - автобус
[2390, 2390]:	nosto II - получение
[2391, 2391]:	nousemaan - подняться (от nousta)
[2392, 2392]:	nousta - вставать
[2393, 2393]:	nousu - взлет
[2394, 2394]:	noutaa - вызывать
[2395, 2395]:	noutakaa - вызовите (от nuotaa)
[2396, 2396]:	nuha - насморк
[2397, 2397]:	nuken - куклу (от nukke)
[2398, 2398]:	nukke - кукла
[2399, 2399]:	nukkua - спать
[24, 24]:	aikaisin - рано
[240, 240]:	bussikortti - проездной билет (на автобус)
[2400, 2400]:	numero - номер
[2401, 2401]:	numeron - номер, номерок
[2402, 2402]:	nuo - на
[2403, 2403]:	nuori - молодой
[2404, 2404]:	nuorukainen - юноша
[2405, 2405]:	nuoruus - молодость
[2406, 2406]:	nuotit - ноты
[2407, 2407]:	nurkassa - в углу
[2408, 2408]:	nurkka - угол
[2409, 2409]:	nurmikko - газон, лужайка
[241, 241]:	bussilippu - билет на автобус
[2410, 2410]:	nykyinen - современный
[2411, 2411]:	nykyturisti - современный турист
[2412, 2412]:	nykyään - теперь
[2413, 2413]:	nyrjäyttää - вывихнуть
[2414, 2414]:	nyrkki - кулак
[2415, 2415]:	nyt - теперь
[2416, 2416]:	nähdä - видеть
[2417, 2417]:	nähdää - увидимся
[2418, 2418]:	nähtävyyksiä - достопримечательности (от nдhtävyys)
[2419, 2419]:	nähtävyys - достопримечательность
[242, 242]:	bussilla - на автобусе (от bussi)
[2420, 2420]:	näin - так
[2421, 2421]:	näkemiin - до свидания
[2422, 2422]:	näkyvä - видный
[2423, 2423]:	näkyä - виднеться, быть видным
[2424, 2424]:	näköala - вид, панорама
[2425, 2425]:	näköinen - похожий на кого-либо
[2426, 2426]:	näkövaikutelma - отражение
[2427, 2427]:	nälkä - голод
[2428, 2428]:	nämä - эти
[2429, 2429]:	näytelmä - пьеса, спектакль
[243, 243]:	bussipysäkki - автобусная остановка
[2430, 2430]:	näytelmäkerho - драматический кружок
[2431, 2431]:	näyttely - выставка
[2432, 2432]:	näyttäisittekö - не покажете?
[2433, 2433]:	näyttäkää - покажите
[2434, 2434]:	näyttäytyä - показаться
[2435, 2435]:	näyttää I - показывать
[2436, 2436]:	näyttää II - казаться, выглядеть
[2437, 2437]:	näyttölippu - проездной билет
[2438, 2438]:	näytän - я покажу(от nдyttää)
[2439, 2439]:	näytäntö - представление, сеанс
[244, 244]:	coctail - коктейль
[2440, 2440]:	näytöpääte - бисплей, видеотерминал
[2441, 2441]:	näytöruutu - экран
[2442, 2442]:	näytös - показ, демонстрация
[2443, 2443]:	nököttää - делать что-либо, погрузившись в свои мысли, задумавшись
[2444, 2444]:	odotettavissa - ожидается (от odotaa)
[2445, 2445]:	odottaa - ждать
[2446, 2446]:	odottakaa - подождите (от odotaa)
[2447, 2447]:	odottamaton - неожиданный
[2448, 2448]:	odotussali - зал ожидания
[2449, 2449]:	ohi - мимо-
[245, 245]:	coctailille - на коктейль (от coctail)
[2450, 2450]:	ohitse - мимо--
[2451, 2451]:	ohitus - обгон
[2452, 2452]:	ohjauspyörä - руль
[2453, 2453]:	ohje - инструкция, руководство
[2454, 2454]:	ohjelma - программа
[2455, 2455]:	ohukaiset - блинчики
[2456, 2456]:	ohut - тонкий
[2457, 2457]:	oikea - правильный
[2458, 2458]:	oikealla - справа
[2459, 2459]:	oikealle - направо
[246, 246]:	deodorantti - дезодорант
[2460, 2460]:	oikeassa - правы
[2461, 2461]:	oikein - правильно, очень
[2462, 2462]:	oikeuden - право
[2463, 2463]:	oikeus - право, суд
[2464, 2464]:	oikeuttaa - давать право
[2465, 2465]:	oja - канава
[2466, 2466]:	ojentaa I - выпрямлять, вытягивать
[2467, 2467]:	ojentaa II - подавать, вручать
[2468, 2468]:	ojientua I - выпрямляться
[2469, 2469]:	ojientua II - протягиваться
[247, 247]:	desilitra - децилитр
[2470, 2470]:	oksa - ветвь, ветка
[2471, 2471]:	oksettaa - тошнит
[2472, 2472]:	oktaanista - октановое число
[2473, 2473]:	ole - будь
[2474, 2474]:	olemassaolo - существование
[2475, 2475]:	olemme - мы есть - глагол-связка 
[2476, 2476]:	olemme saapuneet - мы прибыли
[2477, 2477]:	olemmeko - мы есть?
[2478, 2478]:	olen - я есть
[2479, 2479]:	olen maksanut - я уплатил
[248, 248]:	diagnoosi - диагноз
[2480, 2480]:	olen saapunut - я прибыл
[2481, 2481]:	olen vilustunut - я простудился (от vilustua)
[2482, 2482]:	oleskeluaika - срок пребывания
[2483, 2483]:	olette - вы есть (от olla)
[2484, 2484]:	olette suunnitellut - планируете (от suunnitella)
[2485, 2485]:	oletteko - вы есть? (от olla)
[2486, 2486]:	oli - было (от olla)
[2487, 2487]:	olka - плечо
[2488, 2488]:	olkaa - будьте (от olla)
[2489, 2489]:	olla - быть
[249, 249]:	diakuvat - диафильмы
[2490, 2490]:	olla eläkkeellä - быть на пенсии
[2491, 2491]:	olla kateissa - пропасть
[2492, 2492]:	olla kotoisin - быть родом откуда-либо
[2493, 2493]:	olla tarjolla - быть в продаже
[2494, 2494]:	olo - пребывание, состояние
[2495, 2495]:	olohuone - гостиная
[2496, 2496]:	olut - пиво
[2497, 2497]:	olympiakisat - Олимпийские игры
[2498, 2498]:	oma - свой, собственный
[2499, 2499]:	omainen - родственник
[25, 25]:	aikakausi - эпоха
[250, 250]:	diligenssi - дилижанс
[2500, 2500]:	omaisuus - имущество
[2501, 2501]:	omakotitalo - собственный дом
[2502, 2502]:	omakuva - автопортрет
[2503, 2503]:	omena - яблоко
[2504, 2504]:	omenatuoremehu - яблочный сок
[2505, 2505]:	omenoita - яблоки (от omena)
[2506, 2506]:	ominaisuus - особенность, черта
[2507, 2507]:	omituinen - странный
[2508, 2508]:	ommella - шить
[2509, 2509]:	ompelukone - швейная машина
[251, 251]:	diplomi - диплом
[2510, 2510]:	on - быть
[2511, 2511]:	on kiinni - закрыт
[2512, 2512]:	on syntynyt - родился (от syntyд)
[2513, 2513]:	on toimitettava - надо госпитализировать (от toimita)
[2514, 2514]:	on töissä - работать, быть на работе
[2515, 2515]:	ongelma - проблема
[2516, 2516]:	onki - удочка
[2517, 2517]:	onko - есть? (от olla)
[2518, 2518]:	onnea - счастья (от onni)
[2519, 2519]:	onneksi - к счастью
[252, 252]:	disko - дискотека
[2520, 2520]:	onnellinen - счастливый
[2521, 2521]:	onnellista - счастливого (от onnillinen)
[2522, 2522]:	onnettomuus - несчастье, несч. случай
[2523, 2523]:	onni - счастье
[2524, 2524]:	onnistua - удаваться, получаться
[2525, 2525]:	onnitella - поздравлять
[2526, 2526]:	onnittelemme - мы поздравляем (от onnitella)
[2527, 2527]:	onnittelen - поздравляю
[2528, 2528]:	onnittelu - поздравление
[2529, 2529]:	onnittelukortti - поздравительная открытка
[253, 253]:	divari - комиссионный магазин, (узконаправленный)
[2530, 2530]:	onnittelusta - за поздравление (от onnittelu)
[2531, 2531]:	ontua - хромать
[2532, 2532]:	opas - гид
[2533, 2533]:	opaskirja - путеводитель
[2534, 2534]:	opastaa - показывать дорогу | давать советы, обучать
[2535, 2535]:	opetella - учиться, обучаться
[2536, 2536]:	opettaa - учить, научить, преподавать
[2537, 2537]:	opettaisitteko - вы научите? (от opettaa)
[2538, 2538]:	opettaja - учитель
[2539, 2539]:	opettajana - преподаватель (от opettaja)
[254, 254]:	dosentti - доцент
[2540, 2540]:	opetus - обучение
[2541, 2541]:	opetusta - обучение (от opetus)
[2542, 2542]:	opinnot - учеба, занятия
[2543, 2543]:	opintokirja - зачетная книжка
[2544, 2544]:	opintotukea - стипендию (от opintotuki)
[2545, 2545]:	opintotuki - стипендия
[2546, 2546]:	opiskelen - учу (от opiskella)
[2547, 2547]:	opiskelette - вы учитесь (от opiskella)
[2548, 2548]:	opiskelija - студент, учащийся
[2549, 2549]:	opiskelija-asuntola - студенческое общежитие
[255, 255]:	draama - драма
[2550, 2550]:	opiskella - учиться, заниматься
[2551, 2551]:	opiskelu - учеба, занятия
[2552, 2552]:	opiskelunne - ваша учеба (от opiskelu)
[2553, 2553]:	opiskelusta - за обучение (от opiskelu)
[2554, 2554]:	opiskelutoveri - товарищ по учебе
[2555, 2555]:	opisto - училище
